bid_id,ad_id,user_id,bid_amount,bid_date,bid_status
B-001,1,41,77760000,2024-08-10,1
B-002,2,49,282225000,2024-08-23,1
B-003,3,17,153640000,2024-03-14,0
B-004,4,16,129940000,2024-05-12,0
B-005,5,4,91300000,2024-04-28,0
B-006,6,11,88400000,2024-07-26,1
B-007,7,42,183600000,2024-07-24,0
B-008,8,23,315000000,2024-04-18,0
B-009,9,37,120560000,2024-06-02,1
B-010,10,25,217500000,2024-04-29,1
B-011,11,57,138395000,2024-08-24,1
B-012,12,57,98310000,2024-05-13,0
B-013,13,42,74000000,2024-06-19,1
B-014,14,33,92000000,2024-08-12,0
B-015,15,41,108570000,2024-09-02,1
B-016,16,6,141100000,2024-09-01,0
B-017,17,19,105105000,2024-05-16,0
B-018,18,37,145960000,2024-03-26,1
B-019,19,4,378575000,2024-08-01,1
B-020,20,32,124500000,2024-08-26,1
B-021,21,49,145800000,2024-09-04,1
B-022,22,50,149760000,2024-06-17,1
B-023,23,55,155750000,2024-07-19,0
B-024,24,23,160800000,2024-06-04,0
B-025,25,4,152880000,2024-08-05,1
B-026,26,25,352750000,2024-07-14,0
B-027,27,42,307050000,2024-01-14,1
B-028,28,41,58930000,2024-08-29,1
B-029,29,4,195650000,2024-08-24,0
B-030,30,37,108100000,2024-04-18,1
B-031,31,42,148800000,2024-08-24,0
B-032,32,32,100320000,2024-05-31,1
B-033,33,50,171000000,2024-08-22,0
B-034,34,54,94160000,2024-08-01,1
B-035,35,49,196245000,2024-08-21,0
B-036,36,42,105400000,2023-12-18,1
B-037,37,12,97500000,2024-01-14,0
B-038,38,49,79540000,2024-03-15,0
B-039,39,34,115700000,2024-08-15,1
B-040,40,49,98400000,2024-06-03,1
B-041,41,23,200600000,2024-02-05,0
B-042,42,16,200200000,2024-07-26,0
B-043,43,44,105560000,2024-01-03,1
B-044,44,37,144324000,2024-08-18,1
B-045,45,57,133650000,2024-04-03,0
B-046,46,24,157520000,2024-07-17,1
B-047,47,42,220580000,2024-06-15,1
B-048,48,6,106650000,2023-10-21,1
B-049,49,34,162790000,2024-07-11,0
B-050,50,2,144690000,2024-04-09,0
